timestamp_utc,model_tag,display_name,params_b,quant,system_prompt,use_cot,n_total,n_correct,accuracy,ci_lo,ci_hi,format_failures,input_tokens,output_tokens,wall_time_s,log_path
2026-06-02T11:03:36.853997,ollama/falcon3:1b,Falcon3-1B,1.7,Q8_0,none,False,1273,511,0.4014,0.3748,0.4286,1,184512,6240,74.4,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_falcon3-1b/2026-06-02T11-02-22-00-00_task_JecSwseXwvDFT7d7ThqxtF.eval
2026-06-02T11:06:27.431880,ollama/falcon3:3b,Falcon3-3B,3.2,Q4_K_M,none,False,1273,737,0.5789,0.5516,0.6058,6,184512,5533,128.4,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_falcon3-3b/2026-06-02T11-04-18-00-00_task_D6DYuN6B8UCndojJftxbRN.eval
2026-06-02T11:12:47.055374,ollama/falcon3:7b,Falcon3-7B,7.5,Q4_K_M,none,False,1273,903,0.7093,0.6838,0.7336,1,184512,7036,367.1,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_falcon3-7b/2026-06-02T11-06-39-00-00_task_GAxBH2EJmHgdUVtAtqnXPM.eval
2026-06-02T11:21:21.569105,ollama/falcon3:10b,Falcon3-10B,10.3,Q4_K_M,none,False,1273,938,0.7368,0.712,0.7603,0,184512,5534,465.6,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_falcon3-10b/2026-06-02T11-13-35-00-00_task_iwNd2sTRYqfcbmuHxnPJzz.eval
2026-06-02T11:43:39.679628,ollama/llama3.1:8b,Llama3.1-8B,8.0,Q4_K_M,none,False,1273,926,0.7274,0.7023,0.7512,13,175749,6681,343.1,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_llama3.1-8b/2026-06-02T11-37-56-00-00_task_9tXkb56SQn5vXW2CTBLq4q.eval
2026-06-02T11:56:44.044782,ollama/mistral:7b,Mistral-7B,7.2,Q4_K_M,none,False,1273,813,0.6386,0.6119,0.6646,1,199337,27204,758.2,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_mistral-7b/2026-06-02T11-44-05-00-00_task_GrigjYsRfcYWmiqSK9V9UB.eval
2026-06-02T12:02:48.550773,ollama/qwen2.5:7b,Qwen2.5-7B,7.6,Q4_K_M,none,False,1273,911,0.7156,0.6902,0.7397,0,200872,6365,316.8,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_qwen2.5-7b/2026-06-02T11-57-31-00-00_task_LzGZB9M5qLcqfBEoLtJXGL.eval
2026-06-02T14:54:17.029456,ollama/phi4-mini:latest,Phi4-mini-3.8B,3.8,Q4_K_M,none,False,1273,790,0.6206,0.5936,0.6468,0,162250,16963,856.3,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_phi4-mini-latest/2026-06-02T14-40-00-00-00_task_n7szQsriyYmD9ex6g8Q9pK.eval
2026-06-03T07:11:01.987139,ollama/falcon3:7b,Falcon3-7B,7.5,Q4_K_M,helpful,False,1273,906,0.7117,0.6862,0.7359,3,199788,8428,453.7,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_falcon3-7b/2026-06-03T07-03-28-00-00_task_Jw5UPFTTPsmDyWz9uZJwMA.eval
2026-06-03T07:22:38.306989,ollama/falcon3:7b,Falcon3-7B,7.5,Q4_K_M,biosec,False,1273,897,0.7046,0.679,0.7291,5,220156,13646,452.4,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_falcon3-7b/2026-06-03T07-15-05-00-00_task_ab4aEDLGPC4Kijk3EuJhBL.eval
2026-06-03T07:43:19.570456,ollama/falcon3:7b,Falcon3-7B,7.5,Q4_K_M,none,True,1273,374,0.2938,0.2694,0.3194,250,260892,39061,1120.3,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_falcon3-7b/2026-06-03T07-24-38-00-00_task_bsy8tSEDpTFUv5WervaQM8.eval
2026-06-03T09:57:31.343363,ollama/falcon3:7b,Falcon3-7B,7.5,Q4_K_M,none,True,1273,546,0.4289,0.402,0.4563,4,234479,231745,5069.8,/Users/jawadhaider/Study/Technical AI Safety Project/Falcon Day 1/falcon_eval_wmdp/results/raw/ollama_falcon3-7b/2026-06-03T08-33-01-00-00_task_GZQZchZzH5qh8V2Es9sXKj.eval
